
============================================================
ARM K1
============================================================
[arm K1] trainable=401,304 device=cuda decays=[0.0, 0.7, 0.95, 0.99] | arith uniform
  step 5300/8000 hops=1 loss=1.249 proc=1.136 | ema_acc=0.266
  step 5350/8000 hops=4 loss=1.772 proc=1.476 | ema_acc=0.260
  step 5400/8000 hops=1 loss=1.188 proc=1.080 | ema_acc=0.254
  step 5450/8000 hops=1 loss=1.286 proc=1.168 | ema_acc=0.245
  step 5500/8000 hops=2 loss=1.650 proc=1.320 | ema_acc=0.240
  step 5550/8000 hops=4 loss=1.786 proc=1.508 | ema_acc=0.243
  step 5600/8000 hops=2 loss=1.674 proc=1.348 | ema_acc=0.246
  step 5650/8000 hops=4 loss=1.750 proc=1.461 | ema_acc=0.244
  step 5700/8000 hops=3 loss=1.762 proc=1.466 | ema_acc=0.245
  step 5750/8000 hops=1 loss=1.251 proc=1.131 | ema_acc=0.263
  step 5800/8000 hops=1 loss=1.255 proc=1.147 | ema_acc=0.251
  step 5850/8000 hops=1 loss=1.290 proc=1.173 | ema_acc=0.267
  step 5900/8000 hops=3 loss=1.761 proc=1.461 | ema_acc=0.260
  step 5950/8000 hops=4 loss=2.047 proc=1.553 | ema_acc=0.253
  step 6000/8000 hops=4 loss=1.805 proc=1.519 | ema_acc=0.250
  step 6050/8000 hops=1 loss=1.202 proc=1.085 | ema_acc=0.256
  step 6100/8000 hops=2 loss=1.681 proc=1.338 | ema_acc=0.249
  step 6150/8000 hops=4 loss=1.756 proc=1.481 | ema_acc=0.247
  step 6200/8000 hops=4 loss=1.767 proc=1.459 | ema_acc=0.238
  step 6250/8000 hops=2 loss=1.675 proc=1.349 | ema_acc=0.260
  step 6300/8000 hops=1 loss=1.241 proc=1.137 | ema_acc=0.263
  step 6350/8000 hops=3 loss=1.745 proc=1.413 | ema_acc=0.254
  step 6400/8000 hops=1 loss=1.230 proc=1.117 | ema_acc=0.245
  step 6450/8000 hops=4 loss=1.791 proc=1.473 | ema_acc=0.245
  step 6500/8000 hops=4 loss=1.920 proc=1.602 | ema_acc=0.254
  step 6550/8000 hops=4 loss=1.792 proc=1.506 | ema_acc=0.251
  step 6600/8000 hops=3 loss=1.770 proc=1.458 | ema_acc=0.251
  step 6650/8000 hops=2 loss=1.653 proc=1.320 | ema_acc=0.253
  step 6700/8000 hops=3 loss=1.754 proc=1.433 | ema_acc=0.257
  step 6750/8000 hops=2 loss=1.657 proc=1.301 | ema_acc=0.259
  step 6800/8000 hops=3 loss=1.752 proc=1.441 | ema_acc=0.275
  step 6850/8000 hops=2 loss=1.631 proc=1.264 | ema_acc=0.252
  step 6900/8000 hops=4 loss=1.745 proc=1.465 | ema_acc=0.253
  step 6950/8000 hops=1 loss=1.229 proc=1.125 | ema_acc=0.261
  step 7000/8000 hops=4 loss=1.771 proc=1.487 | ema_acc=0.245
  step 7050/8000 hops=1 loss=1.259 proc=1.149 | ema_acc=0.258
  step 7100/8000 hops=2 loss=1.735 proc=1.394 | ema_acc=0.272
  step 7150/8000 hops=1 loss=1.228 proc=1.136 | ema_acc=0.270
  step 7200/8000 hops=3 loss=1.750 proc=1.438 | ema_acc=0.250
  step 7250/8000 hops=4 loss=1.792 proc=1.496 | ema_acc=0.244
  step 7300/8000 hops=4 loss=1.760 proc=1.481 | ema_acc=0.243
  step 7350/8000 hops=3 loss=1.760 proc=1.423 | ema_acc=0.241
  step 7400/8000 hops=2 loss=1.654 proc=1.320 | ema_acc=0.258
  step 7450/8000 hops=2 loss=1.642 proc=1.348 | ema_acc=0.261
  step 7500/8000 hops=3 loss=1.753 proc=1.443 | ema_acc=0.259
  step 7550/8000 hops=3 loss=1.747 proc=1.379 | ema_acc=0.248
  step 7600/8000 hops=2 loss=1.662 proc=1.322 | ema_acc=0.260
  step 7650/8000 hops=1 loss=1.287 proc=1.170 | ema_acc=0.271
  step 7700/8000 hops=4 loss=1.789 proc=1.482 | ema_acc=0.265
  step 7750/8000 hops=4 loss=1.808 proc=1.498 | ema_acc=0.241
  step 7800/8000 hops=2 loss=1.710 proc=1.417 | ema_acc=0.259
  step 7850/8000 hops=3 loss=1.748 proc=1.435 | ema_acc=0.250
  step 7900/8000 hops=4 loss=1.767 proc=1.497 | ema_acc=0.241
  step 7950/8000 hops=1 loss=1.202 proc=1.124 | ema_acc=0.251
  step 8000/8000 hops=4 loss=1.874 proc=1.556 | ema_acc=0.246
[arm K1] acc_by_hops: 1:0.35, 2:0.18, 3:0.21, 4:0.18, 5:0.11, 6:0.13, 7:0.12, 8:0.09
STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT

Increase the number of iterations to improve the convergence (max_iter=200).
You might also want to scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html
Please also refer to the documentation for alternative solver options:
    https://scikit-learn.org/stable/modules/linear_model.html#logistic-regression
STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT

Increase the number of iterations to improve the convergence (max_iter=200).
You might also want to scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html
Please also refer to the documentation for alternative solver options:
    https://scikit-learn.org/stable/modules/linear_model.html#logistic-regression
STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT

Increase the number of iterations to improve the convergence (max_iter=200).
You might also want to scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html
Please also refer to the documentation for alternative solver options:
    https://scikit-learn.org/stable/modules/linear_model.html#logistic-regression
[arm K1] probe(hops=4) per-step: x1:0.39, x2:0.24, x3:0.21, x4:0.19  (chance 0.10)

wrote agi_demo/outputs/kernel/arith_uniform/metrics.json
wrote figures to agi_demo/outputs/kernel/arith_uniform/

============================================================
SUMMARY (arith)
============================================================
arm K1: params=401,304 OOD(hops [5, 6, 7, 8])=[0.11, 0.13, 0.12, 0.09] | probe last-step=0.19
