
============================================================
ARM K0
============================================================
  step 2150/2500 loss=2.303 acc=0.112 ref=0.127 lit=0.101 read_sup=0.000 | ref_ema=0.101
  step 2200/2500 loss=2.304 acc=0.081 ref=0.078 lit=0.083 read_sup=0.000 | ref_ema=0.099
  step 2250/2500 loss=2.303 acc=0.092 ref=0.080 lit=0.102 read_sup=0.000 | ref_ema=0.099
  step 2300/2500 loss=2.303 acc=0.115 ref=0.114 lit=0.115 read_sup=0.000 | ref_ema=0.101
  step 2350/2500 loss=2.303 acc=0.099 ref=0.108 lit=0.092 read_sup=0.000 | ref_ema=0.098
  step 2400/2500 loss=2.303 acc=0.082 ref=0.098 lit=0.070 read_sup=0.000 | ref_ema=0.103
  step 2450/2500 loss=2.302 acc=0.112 ref=0.114 lit=0.111 read_sup=0.000 | ref_ema=0.101
  step 2500/2500 loss=2.302 acc=0.098 ref=0.128 lit=0.077 read_sup=0.000 | ref_ema=0.102
[arm K0] lit_acc=0.097 ref_acc=0.100 (chance 0.10) delay={1: 0.09, 2: 0.13, 3: 0.07, 4: 0.07, 5: 0.13}

============================================================
ARM K1
============================================================
[arm K1] trainable=401,560 device=cuda decays=[0.0, 0.7, 0.95, 0.99] read=ON | session
  step   50/2500 loss=2.312 acc=0.089 ref=0.096 lit=0.084 read_sup=0.000 | ref_ema=0.094
  step  100/2500 loss=2.306 acc=0.107 ref=0.084 lit=0.123 read_sup=0.000 | ref_ema=0.102
  step  150/2500 loss=2.296 acc=0.137 ref=0.123 lit=0.147 read_sup=0.000 | ref_ema=0.107
  step  200/2500 loss=2.299 acc=0.096 ref=0.085 lit=0.105 read_sup=0.000 | ref_ema=0.104
  step  250/2500 loss=2.280 acc=0.137 ref=0.152 lit=0.126 read_sup=0.000 | ref_ema=0.110
  step  300/2500 loss=1.937 acc=0.168 ref=0.132 lit=0.196 read_sup=0.000 | ref_ema=0.137
  step  350/2500 loss=1.798 acc=0.191 ref=0.176 lit=0.202 read_sup=0.000 | ref_ema=0.153
  step  400/2500 loss=1.764 acc=0.208 ref=0.171 lit=0.234 read_sup=0.000 | ref_ema=0.164
  step  450/2500 loss=1.727 acc=0.212 ref=0.197 lit=0.223 read_sup=0.000 | ref_ema=0.171
  step  500/2500 loss=1.651 acc=0.311 ref=0.184 lit=0.402 read_sup=0.000 | ref_ema=0.175
  step  550/2500 loss=1.412 acc=0.341 ref=0.214 lit=0.431 read_sup=0.000 | ref_ema=0.217
  step  600/2500 loss=1.234 acc=0.421 ref=0.283 lit=0.521 read_sup=0.000 | ref_ema=0.268
  step  650/2500 loss=1.130 acc=0.496 ref=0.315 lit=0.621 read_sup=0.000 | ref_ema=0.297
  step  700/2500 loss=0.779 acc=0.710 ref=0.402 lit=0.943 read_sup=0.000 | ref_ema=0.345
  step  750/2500 loss=0.581 acc=0.796 ref=0.512 lit=0.998 read_sup=0.000 | ref_ema=0.496
  step  800/2500 loss=0.488 acc=0.812 ref=0.592 lit=0.984 read_sup=0.000 | ref_ema=0.592
  step  850/2500 loss=0.314 acc=0.887 ref=0.724 lit=1.000 read_sup=0.000 | ref_ema=0.683
  step  900/2500 loss=0.235 acc=0.919 ref=0.802 lit=1.000 read_sup=0.000 | ref_ema=0.738
  step  950/2500 loss=0.247 acc=0.913 ref=0.807 lit=0.993 read_sup=0.000 | ref_ema=0.804
  step 1000/2500 loss=0.166 acc=0.943 ref=0.852 lit=1.000 read_sup=0.000 | ref_ema=0.837
  step 1050/2500 loss=0.164 acc=0.945 ref=0.886 lit=0.991 read_sup=0.000 | ref_ema=0.845
  step 1100/2500 loss=0.202 acc=0.931 ref=0.844 lit=0.993 read_sup=0.000 | ref_ema=0.848
  step 1150/2500 loss=0.142 acc=0.948 ref=0.888 lit=0.995 read_sup=0.000 | ref_ema=0.866
  step 1200/2500 loss=0.166 acc=0.938 ref=0.868 lit=0.989 read_sup=0.000 | ref_ema=0.889
  step 1250/2500 loss=0.120 acc=0.958 ref=0.901 lit=1.000 read_sup=0.000 | ref_ema=0.914
  step 1300/2500 loss=0.111 acc=0.964 ref=0.922 lit=0.995 read_sup=0.000 | ref_ema=0.938
  step 1350/2500 loss=0.064 acc=0.978 ref=0.950 lit=1.000 read_sup=0.000 | ref_ema=0.948
  step 1400/2500 loss=0.047 acc=0.984 ref=0.965 lit=1.000 read_sup=0.000 | ref_ema=0.956
  step 1450/2500 loss=0.040 acc=0.988 ref=0.972 lit=1.000 read_sup=0.000 | ref_ema=0.958
  step 1500/2500 loss=0.058 acc=0.979 ref=0.953 lit=0.998 read_sup=0.000 | ref_ema=0.951
  step 1550/2500 loss=0.066 acc=0.975 ref=0.952 lit=0.993 read_sup=0.000 | ref_ema=0.956
  step 1600/2500 loss=0.038 acc=0.987 ref=0.969 lit=1.000 read_sup=0.000 | ref_ema=0.962
  step 1650/2500 loss=0.070 acc=0.980 ref=0.951 lit=1.000 read_sup=0.000 | ref_ema=0.957
  step 1700/2500 loss=0.064 acc=0.974 ref=0.943 lit=0.998 read_sup=0.000 | ref_ema=0.954
  step 1750/2500 loss=0.060 acc=0.979 ref=0.951 lit=1.000 read_sup=0.000 | ref_ema=0.961
  step 1800/2500 loss=0.039 acc=0.986 ref=0.965 lit=1.000 read_sup=0.000 | ref_ema=0.964
  step 1850/2500 loss=0.047 acc=0.982 ref=0.957 lit=1.000 read_sup=0.000 | ref_ema=0.957
  step 1900/2500 loss=0.030 acc=0.987 ref=0.972 lit=0.998 read_sup=0.000 | ref_ema=0.959
  step 1950/2500 loss=0.058 acc=0.978 ref=0.950 lit=0.998 read_sup=0.000 | ref_ema=0.962
  step 2000/2500 loss=0.022 acc=0.992 ref=0.981 lit=1.000 read_sup=0.000 | ref_ema=0.965
  step 2050/2500 loss=0.053 acc=0.980 ref=0.951 lit=1.000 read_sup=0.000 | ref_ema=0.963
  step 2100/2500 loss=0.068 acc=0.971 ref=0.936 lit=0.996 read_sup=0.000 | ref_ema=0.954
  step 2150/2500 loss=0.034 acc=0.984 ref=0.963 lit=1.000 read_sup=0.000 | ref_ema=0.966
  step 2200/2500 loss=0.019 acc=0.992 ref=0.982 lit=1.000 read_sup=0.000 | ref_ema=0.971
