
============================================================
ARM K0
============================================================

----- K0 seed 0 -----
  step 1050/1500 loss=2.305 acc=0.132 ref=0.160 lit=0.110 read_sup=0.000 | ref_ema=0.102
  step 1100/1500 loss=2.301 acc=0.099 ref=0.098 lit=0.100 read_sup=0.000 | ref_ema=0.097
  step 1150/1500 loss=2.305 acc=0.103 ref=0.098 lit=0.106 read_sup=0.000 | ref_ema=0.104
  step 1200/1500 loss=2.305 acc=0.091 ref=0.066 lit=0.110 read_sup=0.000 | ref_ema=0.097
  step 1250/1500 loss=2.304 acc=0.107 ref=0.083 lit=0.121 read_sup=0.000 | ref_ema=0.096
  step 1300/1500 loss=2.305 acc=0.087 ref=0.052 lit=0.111 read_sup=0.000 | ref_ema=0.098
  step 1350/1500 loss=2.305 acc=0.072 ref=0.069 lit=0.073 read_sup=0.000 | ref_ema=0.102
  step 1400/1500 loss=2.299 acc=0.165 ref=0.191 lit=0.149 read_sup=0.000 | ref_ema=0.108
  step 1450/1500 loss=2.303 acc=0.089 ref=0.080 lit=0.095 read_sup=0.000 | ref_ema=0.101
  step 1500/1500 loss=2.305 acc=0.078 ref=0.055 lit=0.094 read_sup=0.000 | ref_ema=0.096
[arm K0] lit_acc=0.093 ref_acc=0.109 (chance 0.10) delay={1: 0.11, 2: 0.11, 3: 0.11, 4: 0.08, 5: 0.11}
[arm K0] 5-seed ref_acc=0.104±0.012

============================================================
ARM K1
============================================================

----- K1 seed 0 -----
[arm K1] trainable=401,560 device=cuda decays=[0.0, 0.7, 0.95, 0.99] read=ON | session
  step   50/1500 loss=0.315 acc=0.905 ref=0.775 lit=1.000 read_sup=0.000 | ref_ema=0.562
  step  100/1500 loss=0.130 acc=0.954 ref=0.889 lit=1.000 read_sup=0.000 | ref_ema=0.825
  step  150/1500 loss=0.049 acc=0.984 ref=0.960 lit=1.000 read_sup=0.000 | ref_ema=0.924
  step  200/1500 loss=0.030 acc=0.996 ref=0.991 lit=1.000 read_sup=0.000 | ref_ema=0.973
  step  250/1500 loss=0.003 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=0.994
  step  300/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=0.999
  step  350/1500 loss=0.001 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  400/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  450/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  500/1500 loss=0.004 acc=0.999 ref=0.997 lit=1.000 read_sup=0.000 | ref_ema=0.999
  step  550/1500 loss=0.006 acc=0.999 ref=0.997 lit=1.000 read_sup=0.000 | ref_ema=0.997
  step  600/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  650/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  700/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
